name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Janthinobacterium agaricidamnosum	55508	S	29	15	44	0.00003
Janthinobacterium svalbardensis	368607	S	18	8	26	0.00002
Janthinobacterium lividum	29581	S	8	9	17	0.00001
Duganella sp. AF9R3	2728021	S	198	36	234	0.00017
Duganella sp. GN2-R2	2728020	S	12	4	16	0.00001
Herbaspirillum frisingense	92645	S	22	7	29	0.00002
Herbaspirillum sp. meg3	2025949	S	19	1	20	0.00001
Herbaspirillum rubrisubalbicans	80842	S	12	6	18	0.00001
Herbaspirillum robiniae	2014887	S	10	3	13	0.00001
Herbaspirillum seropedicae	964	S	9	3	12	0.00001
Herbaspirillum hiltneri	341045	S	8	1	9	0.00001
Herbaspirillum huttiense	863372	S	2	0	2	0.00000
Undibacterium sp. YM2	2058625	S	34	10	44	0.00003
Undibacterium sp. KW1	2058624	S	27	7	34	0.00002
Undibacterium parvum	401471	S	5	0	5	0.00000
Collimonas arenae	279058	S	19	1	20	0.00001
Collimonas pratensis	279113	S	19	1	20	0.00001
Collimonas fungivorans	158899	S	16	1	17	0.00001
Noviherbaspirillum sp. UKPF54	2601898	S	12	1	13	0.00001
Herminiimonas arsenitoxidans	1809410	S	9	2	11	0.00001
Glaciimonas sp. PAMC28666	2807626	S	6	0	6	0.00000
Oxalobacter formigenes	847	S	3	0	3	0.00000
Rhizobacter sp. AJA081-3	2753607	S	84	21	105	0.00007
Rhizobacter gummiphilus	946333	S	71	14	85	0.00006
Sphaerotilus natans	34103	S	111	38	149	0.00011
Leptothrix cholodnii	34029	S	85	27	112	0.00008
Methylibium petroleiphilum	105560	S	24	22	46	0.00003
Methylibium sp. Pch-M	2082386	S	17	17	34	0.00002
Rubrivivax gelatinosus	28068	S	53	16	69	0.00005
Paucibacter sp. KCTC 42545	1768242	S	47	9	56	0.00004
Aquabacterium olei	1296669	S	41	11	52	0.00004
Thiomonas sp. X19	1050370	S	18	2	20	0.00001
Thiomonas intermedia	926	S	8	4	12	0.00001
Thiomonas arsenitoxydans	426114	S	4	3	7	0.00000
Inhella inkyongensis	392593	S	26	4	30	0.00002
Mitsuaria sp. 7	1658665	S	25	5	30	0.00002
Xylophilus rhododendri	2697032	S	22	7	29	0.00002
Roseateles depolymerans	76731	S	21	4	25	0.00002
Bordetella genomosp. 13	463040	S	14	7	21	0.00001
Bordetella genomosp. 8	1416806	S	10	0	10	0.00001
Bordetella sp. N	1746199	S	6	0	6	0.00000
Bordetella sp. H567	1697043	S	2	0	2	0.00000
Bordetella avium	521	S	6	0	6	0.00000
Bordetella holmesii	35814	S	6	1	7	0.00000
Bordetella hinzii	103855	S	6	1	7	0.00000
Bordetella trematum	123899	S	6	1	7	0.00000
Bordetella flabilis	463014	S	6	0	6	0.00000
Bordetella genomosp. 9	1416803	S	4	0	4	0.00000
Bordetella bronchiseptica	518	S	3	15	18	0.00001
Bordetella petrii	94624	S	2	2	4	0.00000
Bordetella bronchialis	463025	S	2	0	2	0.00000
Bordetella pseudohinzii	1331258	S	2	0	2	0.00000
Achromobacter xylosoxidans	85698	S	22	33	55	0.00004
Achromobacter spanius	217203	S	15	5	20	0.00001
Achromobacter sp. B7	2282475	S	6	1	7	0.00000
Achromobacter sp. MFA1 R4	1881016	S	5	1	6	0.00000
Achromobacter sp. AONIH1	1758194	S	3	2	5	0.00000
Achromobacter insolitus	217204	S	5	1	6	0.00000
Achromobacter pestifer	1353889	S	5	5	10	0.00001
Achromobacter denitrificans	32002	S	1	0	1	0.00000
Alcaligenes faecalis	511	S	5	3	8	0.00001
Alcaligenes sp. SORT26	2813780	S	2	0	2	0.00000
Alcaligenes aquatilis	323284	S	1	4	5	0.00000
Pigmentiphaga sp. H8	2488560	S	8	0	8	0.00001
Pigmentiphaga aceris	1940612	S	5	0	5	0.00000
Pusillimonas thiosulfatoxidans	2028345	S	10	1	11	0.00001
Pusillimonas sp. T7-7	1007105	S	1	0	1	0.00000
Advenella kashmirensis	310575	S	6	0	6	0.00000
Advenella mimigardefordensis	302406	S	2	0	2	0.00000
Castellaniella defragrans	75697	S	8	3	11	0.00001
Orrella dioscoreae	1851544	S	8	1	9	0.00001
Pelistega ratti	2652177	S	3	0	3	0.00000
Paenalcaligenes hominis	643674	S	3	0	3	0.00000
Basilea psittacipulmonis	1472345	S	3	0	3	0.00000
Taylorella equigenitalis	29575	S	1	0	1	0.00000
Oligella ureolytica	90244	S	1	0	1	0.00000
Kerstersia gyiorum	206506	S	1	0	1	0.00000
Algicoccus marinus	2163011	S	1	0	1	0.00000
Sutterella wadsworthensis	40545	S	5	0	5	0.00000
Sutterella megalosphaeroides	2494234	S	1	0	1	0.00000
Sutterella faecalis	2584944	S	1	0	1	0.00000
Aquaspirillum sp. LM1	1938604	S	141	11	152	0.00011
Chromobacterium sp. ATCC 53434	2059672	S	3	0	3	0.00000
Chromobacterium sp. Rain0013	2292447	S	2	1	3	0.00000
Chromobacterium vaccinii	1108595	S	3	0	3	0.00000
Chromobacterium phragmitis	2202141	S	3	0	3	0.00000
Chromobacterium paludis	2605945	S	2	0	2	0.00000
Chromobacterium haemolyticum	394935	S	1	6	7	0.00000
Iodobacter sp. H11R3	2496266	S	3	0	3	0.00000
Iodobacter fluviatilis	537	S	2	0	2	0.00000
Laribacter hongkongensis	168471	S	17	6	23	0.00002
Jeongeupia sp. USM3	1906741	S	7	0	7	0.00000
Jeongeupia sp. HS-3	1009682	S	4	0	4	0.00000
Chitinibacter sp. 2T18	2739434	S	6	3	9	0.00001
Chitinibacter fontanus	1737446	S	3	0	3	0.00000
Aquitalea aquatilis	1537400	S	2	0	2	0.00000
Aquitalea sp. USM4	1590041	S	2	2	4	0.00000
Aquitalea denitrificans	519081	S	1	0	1	0.00000
Microvirgula aerodenitrificans	57480	S	7	0	7	0.00000
Deefgea sp. D17	2739061	S	7	1	8	0.00001
Vogesella sp. LIG4	1192162	S	4	0	4	0.00000
Pseudogulbenkiania sp. NH8B	748280	S	4	0	4	0.00000
Vitreoscilla filiformis	63	S	78	13	91	0.00006
Vitreoscilla sp. C1	96942	S	3	0	3	0.00000
Neisseria gonorrhoeae	485	S	6	4	10	0.00001
Neisseria animalis	492	S	6	0	6	0.00000
Neisseria sp. oral taxon 014	641148	S	2	0	2	0.00000
Neisseria sp. 10022	1853276	S	2	0	2	0.00000
Neisseria sp. ZJ785	2709396	S	1	0	1	0.00000
Neisseria chenwenguii	1853278	S	5	0	5	0.00000
Neisseria brasiliensis	2666100	S	4	1	5	0.00000
Neisseria subflava	28449	S	3	1	4	0.00000
Neisseria flavescens	484	S	3	1	4	0.00000
Neisseria sicca	490	S	2	1	3	0.00000
Neisseria lactamica	486	S	2	1	3	0.00000
Neisseria mucosa	488	S	2	1	3	0.00000
Neisseria weaveri	28091	S	1	0	1	0.00000
Neisseria cinerea	483	S	1	0	1	0.00000
Neisseria dentiae	194197	S	1	0	1	0.00000
Neisseria bacilliformis	267212	S	1	0	1	0.00000
Neisseria animaloris	326522	S	1	0	1	0.00000
Neisseria zalophi	640030	S	1	0	1	0.00000
Crenobacter cavernae	2290923	S	9	1	10	0.00001
Alysiella filiformis	194196	S	4	0	4	0.00000
Kingella denitrificans	502	S	1	0	1	0.00000
Kingella kingae	504	S	1	0	1	0.00000
Kingella oralis	505	S	1	0	1	0.00000
Chitinolyticbacter meiyuanensis	682798	S	3	0	3	0.00000
Snodgrassella alvi	1196083	S	2	0	2	0.00000
Simonsiella muelleri	72	S	1	0	1	0.00000
Eikenella corrodens	539	S	1	0	1	0.00000
Azoarcus sp. CIB	198107	S	12	4	16	0.00001
Azoarcus sp. DD4	2027405	S	12	7	19	0.00001
Azoarcus sp. DN11	356837	S	11	3	14	0.00001
Azoarcus sp. M9-3-2	2016596	S	8	0	8	0.00001
Azoarcus sp. KH32C	748247	S	7	0	7	0.00000
Azoarcus communis	41977	S	15	4	19	0.00001
Azoarcus olearius	418699	S	9	3	12	0.00001
Azoarcus pumilus	2067960	S	4	0	4	0.00000
Thauera sp. MZ1T	85643	S	8	9	17	0.00001
Thauera sp. K11	2005884	S	8	4	12	0.00001
Thauera humireducens	1134435	S	14	5	19	0.00001
Thauera chlorobenzoica	96773	S	6	7	13	0.00001
Thauera hydrothermalis	2184083	S	6	1	7	0.00000
Thauera aromatica	59405	S	1	1	2	0.00000
Fluviibacter phosphoraccumulans	1751046	S	75	13	88	0.00006
Dechloromonas sp. HYN0024	2231055	S	25	2	27	0.00002
Dechloromonas sp. TW-R-39-2	2654218	S	20	1	21	0.00001
Dechloromonas aromatica	259537	S	26	2	28	0.00002
Aromatoleum bremense	76115	S	7	2	9	0.00001
Aromatoleum aromaticum	551760	S	6	1	7	0.00000
Aromatoleum petrolei	76116	S	4	1	5	0.00000
Azospira restricta	404405	S	8	2	10	0.00001
Azospira oryzae	146939	S	3	2	5	0.00000
Azospira sp. I09	1765049	S	3	3	6	0.00000
Oryzomicrobium terrae	1735038	S	5	0	5	0.00000
Niveibacterium sp. HC41	2811415	S	3	0	3	0.00000
Rugosibacter aromaticivorans	1565605	S	3	0	3	0.00000
Candidatus Methylopumilus rimovensis	2588535	S	28	1	29	0.00002
Candidatus Methylopumilus turicensis	1581680	S	15	1	16	0.00001
Candidatus Methylopumilus universalis	2588536	S	14	0	14	0.00001
Candidatus Methylopumilus planktonicus	1581557	S	9	0	9	0.00001
Methylotenera versatilis	1055487	S	21	1	22	0.00002
Methylotenera mobilis	359408	S	9	0	9	0.00001
Methylophilus sp. TWE2	1662285	S	8	1	9	0.00001
Methylophilus medardicus	2588534	S	3	0	3	0.00000
Methylovorus sp. MP688	887061	S	5	3	8	0.00001
Methylovorus glucosotrophus	266009	S	1	0	1	0.00000
Methylobacillus flagellatus	405	S	2	0	2	0.00000
Sulfuritalea hydrogenivorans	748811	S	23	1	24	0.00002
Denitratisoma oestradiolicum	311182	S	9	0	9	0.00001
Denitratisoma sp. DHT3	1981880	S	8	5	13	0.00001
Methyloversatilis sp. RAC08	1842540	S	9	0	9	0.00001
Sterolibacterium denitrificans	157592	S	2	0	2	0.00000
Nitrosomonas sp. Is79A3	261292	S	14	0	14	0.00001
Nitrosomonas sp. AL212	153948	S	2	0	2	0.00000
Nitrosomonas europaea	915	S	5	0	5	0.00000
Nitrosomonas ureae	44577	S	2	0	2	0.00000
Nitrosomonas communis	44574	S	1	0	1	0.00000
Nitrosospira briensis	35799	S	4	0	4	0.00000
Nitrosospira lacus	1288494	S	2	0	2	0.00000
Sulfuriferula plumbiphila	171865	S	10	1	11	0.00001
Sulfuriferula sp. AH1	1985873	S	5	0	5	0.00000
Sulfuriferula nivalis	2675298	S	1	0	1	0.00000
Sulfurimicrobium lacus	2715678	S	9	0	9	0.00001
Sulfuricella denitrificans	649841	S	2	0	2	0.00000
Sideroxydans lithotrophicus	63745	S	9	0	9	0.00001
Gallionella capsiferriformans	370405	S	5	0	5	0.00000
Candidatus Nitrotoga sp. AM1P	2559597	S	3	0	3	0.00000
Ferriphaselus amnicola	1188319	S	2	0	2	0.00000
Usitatibacter palustris	2732487	S	10	2	12	0.00001
Usitatibacter rugosus	2732067	S	5	1	6	0.00000
Sulfuritortus calidifontis	1914471	S	5	1	6	0.00000
Thiobacillus denitrificans	36861	S	1	0	1	0.00000
Candidatus Accumulibacter phosphatis	327160	S	16	0	16	0.00001
Casimicrobium huifangae	2591109	S	3	0	3	0.00000
Candidatus Kinetoplastibacterium oncopeltii	994696	S	1	0	1	0.00000
Candidatus Kinetoplastibacterium sorsogonicusi	1576550	S	1	0	1	0.00000
Candidatus Profftella armatura (Diaphorina cf. continua)	2661583	S	2	0	2	0.00000
Pseudomonas oryzihabitans	47885	S	560	80	640	0.00045
Pseudomonas putida	303	S	23	20	43	0.00003
Pseudomonas fulva	47880	S	2	0	2	0.00000
Pseudomonas plecoglossicida	70775	S	2	1	3	0.00000
Pseudomonas monteilii	76759	S	1	0	1	0.00000
Pseudomonas sp. CMR12a	658629	S	100	51	151	0.00011
Pseudomonas sp. C27(2019)	2604941	S	22	1	23	0.00002
Pseudomonas sp. S09G 359	2054919	S	11	1	12	0.00001
Pseudomonas sp. LG1E9	2219057	S	9	1	10	0.00001
Pseudomonas sp. NS1(2017)	2025658	S	8	1	9	0.00001
Pseudomonas sp. IB20	1702250	S	7	1	8	0.00001
Pseudomonas sp. DTU12.3	2073078	S	7	0	7	0.00000
Pseudomonas sp. S1-A32-2	2731681	S	7	0	7	0.00000
Pseudomonas sp. HLS-6	2049589	S	7	0	7	0.00000
Pseudomonas sp. URMO17WK12:I11	1283291	S	7	5	12	0.00001
Pseudomonas sp. PONIH3	1636610	S	6	22	28	0.00002
Pseudomonas sp. R5-89-07	658644	S	6	1	7	0.00000
Pseudomonas sp. B11D7D	2735906	S	6	0	6	0.00000
Pseudomonas sp. MPC6	2498848	S	5	0	5	0.00000
Pseudomonas sp. J380	2605424	S	5	4	9	0.00001
Pseudomonas sp. OIL-1	2706126	S	5	0	5	0.00000
Pseudomonas sp. RU47	2005388	S	5	2	7	0.00000
Pseudomonas sp. SDM007	2812000	S	5	1	6	0.00000
Pseudomonas sp. M30-35	1981174	S	4	0	4	0.00000
Pseudomonas sp. TCU-HL1	1856685	S	4	0	4	0.00000
Pseudomonas sp. DY-1	1755504	S	4	0	4	0.00000
Pseudomonas sp. DG56-2	2320270	S	4	0	4	0.00000
Pseudomonas sp. 15A4	2804761	S	4	1	5	0.00000
Pseudomonas sp. SK	2729423	S	3	0	3	0.00000
Pseudomonas sp. R84	1573712	S	3	0	3	0.00000
Pseudomonas sp. IzPS59	2774459	S	3	1	4	0.00000
Pseudomonas sp. Y39-6	2749807	S	3	12	15	0.00001
Pseudomonas sp. S-6-2	1931241	S	3	0	3	0.00000
Pseudomonas sp. MSPm1	2726956	S	3	0	3	0.00000
Pseudomonas sp. S150	2559074	S	3	3	6	0.00000
Pseudomonas sp. StFLB209	1028989	S	3	0	3	0.00000
Pseudomonas sp. ACM7	2052956	S	2	0	2	0.00000
Pseudomonas sp. SCB32	2653853	S	2	0	2	0.00000
Pseudomonas sp. BIGb0427	2724470	S	2	0	2	0.00000
Pseudomonas sp. 02C 26	2054914	S	2	0	2	0.00000
Pseudomonas sp. Tri1	2823875	S	2	0	2	0.00000
Pseudomonas sp. ADAK22	2730851	S	2	1	3	0.00000
Pseudomonas sp. NIBRBAC000502773	2590776	S	2	1	3	0.00000
Pseudomonas sp. ABC1	2748080	S	2	0	2	0.00000
Pseudomonas sp. Z003-0.4C(8344-21)	1855380	S	2	1	3	0.00000
Pseudomonas sp. Leaf58	1736226	S	2	0	2	0.00000
Pseudomonas sp. SWI36	2083052	S	2	5	7	0.00000
Pseudomonas sp. 31-12	2201356	S	2	0	2	0.00000
Pseudomonas sp. MRSN12121	1611770	S	2	3	5	0.00000
Pseudomonas sp. S34	1573718	S	2	0	2	0.00000
Pseudomonas sp. CMR5c	658630	S	2	0	2	0.00000
Pseudomonas sp. UW4	1207075	S	2	1	3	0.00000
Pseudomonas sp. LPB0260	2614442	S	1	0	1	0.00000
