name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cutibacterium acnes	1747	S	920	63	983	0.0811123030
Klebsiella grimontii	2058152	S	480	296	776	0.0640316858
Acinetobacter junii	40215	S	452	42	494	0.0407624391
Xanthomonas euvesicatoria	456327	S	34	409	443	0.0365541711
Oscillatoria nigro-viridis	482564	S	252	16	268	0.0221140358
Vibrio anguillarum	55601	S	194	0	194	0.0160079214
Diaphorobacter sp. HDW4A	2714924	S	128	41	169	0.0139450450
Pasteurella multocida	747	S	114	33	147	0.0121297137
Klebsiella pneumoniae	573	S	83	54	137	0.0113045631
Streptococcus thermophilus	1308	S	76	58	134	0.0110570179
Pseudomonas sp. CMR12a	658629	S	108	24	132	0.0108919878
Rhodococcus qingshengii	334542	S	23	94	117	0.0096542619
Acidovorax sp. KKS102	358220	S	92	23	115	0.0094892318
Rhodococcus erythropolis	1833	S	30	85	115	0.0094892318
Propionibacterium sp. oral taxon 193	671223	S	94	7	101	0.0083340210
Delftia sp. KV29	1170710	S	2	95	97	0.0080039607
Variovorax boronicumulans	436515	S	57	39	96	0.0079214457
Variovorax sp. PMC12	2126319	S	2	89	91	0.0075088704
Acidovorax sp. JMULE5	2518343	S	79	12	91	0.0075088704
Acinetobacter baumannii	470	S	11	77	88	0.0072613252
Variovorax paradoxus	34073	S	65	18	83	0.0068487499
Acidovorax sp. JS42	232721	S	7	76	83	0.0068487499
Delftia acidovorans	80866	S	35	47	82	0.0067662348
Acidovorax sp. T1	1858609	S	36	40	76	0.0062711445
Moraxella osloensis	34062	S	66	2	68	0.0056110240
Priestia megaterium	1404	S	56	9	65	0.0053634788
Pseudomonas aeruginosa	287	S	16	45	61	0.0050334186
Paenarthrobacter sp. YJN-D	2735317	S	49	11	60	0.0049509035
Janthinobacterium sp. HH102	1537274	S	22	32	54	0.0044558132
Nostoc carneum	374162	S	7	44	51	0.0042082680
Janthinobacterium agaricidamnosum	55508	S	21	28	49	0.0040432379
Polynucleobacter difficilis	556054	S	48	1	49	0.0040432379
Clostridium botulinum	1491	S	44	2	46	0.0037956927
Pseudomonas fluorescens	294	S	30	15	45	0.0037131777
Lysobacter enzymogenes	69	S	43	1	44	0.0036306626
Variovorax sp. 38R	2774875	S	23	21	44	0.0036306626
Acidovorax carolinensis	553814	S	30	12	42	0.0034656325
Diaphorobacter aerolatus	1288495	S	29	13	42	0.0034656325
Staphylococcus aureus	1280	S	13	28	41	0.0033831174
Kinneretia sp. DAIF2	2714952	S	35	4	39	0.0032180873
Dermacoccus nishinomiyaensis	1274	S	34	5	39	0.0032180873
Spirosoma sp. KUDC1026	2745947	S	39	0	39	0.0032180873
Microbacterium sp. PM5	2014534	S	33	5	38	0.0031355722
Vibrio coralliilyticus	190893	S	36	0	36	0.0029705421
Stenotrophomonas maltophilia	40324	S	18	16	34	0.0028055120
Pseudomonas tolaasii	29442	S	29	4	33	0.0027229969
Paucibacter sp. KCTC 42545	1768242	S	29	4	33	0.0027229969
Flavobacterium phage vB_FspS_filifjonk9-1	2686245	S	14	18	32	0.0026404819
Mycobacteroides chelonae	1774	S	15	16	31	0.0025579668
Sphingobium yanoikuyae	13690	S	15	15	30	0.0024754518
Bacillus cereus	1396	S	12	18	30	0.0024754518
