name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Delftia acidovorans	80866	S	34	66	100	0.00000
Delftia tsuruhatensis	180282	S	9	39	48	0.00000
Delftia sp. Cs1-4	742013	S	6	16	22	0.00000
Delftia sp. KV29	1170710	S	2	137	139	0.00000
Delftia sp. HK171	1920191	S	1	3	4	0.00000
Delftia lacustris	558537	S	5	28	33	0.00000
Ottowia sp. 27C	2816950	S	53	5	58	0.00000
Ottowia sp. oral taxon 894	1658672	S	32	2	34	0.00000
Ottowia oryzae	2109914	S	64	8	72	0.00000
Ramlibacter tataouinensis	94132	S	139	17	156	0.00000
Kinneretia sp. DAIF2	2714952	S	102	19	121	0.00000
Simplicispira suum	2109915	S	82	19	101	0.00000
Serpentinomonas raichei	1458425	S	33	7	40	0.00000
Serpentinomonas mccroryi	1458426	S	32	6	38	0.00000
Hylemonella gracilis	80880	S	62	4	66	0.00000
Schlegelella thermodepolymerans	215580	S	56	13	69	0.00000
Alicycliphilus denitrificans	179636	S	54	65	119	0.00000
Melaminivora sp. SC2-9	2109913	S	39	16	55	0.00000
Verminephrobacter eiseniae	364317	S	38	1	39	0.00000
Pulveribacter suum	2116657	S	35	7	42	0.00000
Candidatus Symbiobacter mobilis	1436290	S	17	0	17	0.00000
Polynucleobacter necessarius	576610	S	322	13	335	0.00000
Polynucleobacter duraquae	1835254	S	140	10	150	0.00000
Polynucleobacter asymbioticus	576611	S	71	5	76	0.00000
Polynucleobacter sp. MWH-UH21B	1743174	S	21	1	22	0.00000
Polynucleobacter sp. LimPoW16	1743162	S	18	0	18	0.00000
Polynucleobacter wuianus	1743168	S	27	3	30	0.00000
Polynucleobacter paneuropaeus	2527775	S	24	1	25	0.00000
Polynucleobacter difficilis	556054	S	22	0	22	0.00000
Polynucleobacter acidiphobus	556053	S	4	0	4	0.00000
Burkholderia cenocepacia	95486	S	21	24	45	0.00000
Burkholderia multivorans	87883	S	19	6	25	0.00000
Burkholderia lata	482957	S	15	6	21	0.00000
Burkholderia cepacia	292	S	11	7	18	0.00000
Burkholderia anthina	179879	S	10	5	15	0.00000
Burkholderia vietnamiensis	60552	S	7	14	21	0.00000
Burkholderia ubonensis	101571	S	7	9	16	0.00000
Burkholderia contaminans	488447	S	7	2	9	0.00000
Burkholderia stagnalis	1503054	S	6	1	7	0.00000
Burkholderia ambifaria	152480	S	6	3	9	0.00000
Burkholderia territorii	1503055	S	5	1	6	0.00000
Burkholderia latens	488446	S	4	6	10	0.00000
Burkholderia metallica	488729	S	4	1	5	0.00000
Burkholderia pyrrocinia	60550	S	4	1	5	0.00000
Burkholderia diffusa	488732	S	2	0	2	0.00000
Burkholderia stabilis	95485	S	1	0	1	0.00000
Burkholderia sp. DHOD12	2571746	S	16	0	16	0.00000
Burkholderia sp. Bp7605	1740163	S	11	0	11	0.00000
Burkholderia sp. CCGE1003	640512	S	9	1	10	0.00000
Burkholderia sp. THE68	758782	S	6	0	6	0.00000
Burkholderia sp. MSMB0856	1637869	S	6	2	8	0.00000
Burkholderia sp. RPE67	758796	S	4	4	8	0.00000
Burkholderia sp. YI23	1097668	S	4	4	8	0.00000
Burkholderia sp. KK1	1855726	S	4	3	7	0.00000
Burkholderia sp. PAMC 28687	1795874	S	4	3	7	0.00000
Burkholderia sp. LA-2-3-30-S1-D2	1637862	S	3	1	4	0.00000
Burkholderia sp. JP2-270	2217913	S	3	1	4	0.00000
Burkholderia sp. PAMC 26561	1795043	S	3	1	4	0.00000
Burkholderia sp. MS455	2811788	S	3	1	4	0.00000
Burkholderia sp. MBR-1	2732364	S	2	6	8	0.00000
Burkholderia sp. NRF60-BP8	1637853	S	2	0	2	0.00000
Burkholderia sp. IDO3	1705310	S	1	1	2	0.00000
Burkholderia sp. KBS0801	1179675	S	1	1	2	0.00000
Burkholderia pseudomallei	28450	S	22	183	205	0.00000
Burkholderia thailandensis	57975	S	8	1	9	0.00000
Burkholderia sp. BDU8	1385592	S	8	0	8	0.00000
Burkholderia oklahomensis	342113	S	4	1	5	0.00000
Burkholderia sp. MSMB617WGS	1637831	S	4	3	7	0.00000
Burkholderia sp. MSMB0852	1637841	S	2	1	3	0.00000
Burkholderia mallei	13373	S	1	3	4	0.00000
Burkholderia sp. BDU6	1385591	S	1	0	1	0.00000
Burkholderia gladioli	28095	S	22	5	27	0.00000
Burkholderia glumae	337	S	10	1	11	0.00000
Burkholderia plantarii	41899	S	8	0	8	0.00000
Cupriavidus basilensis	68895	S	51	22	73	0.00000
Cupriavidus taiwanensis	164546	S	43	24	67	0.00000
Cupriavidus necator	106590	S	40	10	50	0.00000
Cupriavidus metallidurans	119219	S	23	16	39	0.00000
Cupriavidus pauculus	82633	S	22	4	26	0.00000
Cupriavidus campinensis	151783	S	20	6	26	0.00000
Cupriavidus pinatubonensis	248026	S	14	5	19	0.00000
Cupriavidus oxalaticus	96344	S	13	4	17	0.00000
Cupriavidus sp. USMAHM13	1389192	S	3	20	23	0.00000
Cupriavidus sp. USMAA2-4	876364	S	1	6	7	0.00000
Cupriavidus sp. ISTL7	2771360	S	1	6	7	0.00000
Cupriavidus gilardii	82541	S	7	24	31	0.00000
Cupriavidus neocaledonicus	1040979	S	5	5	10	0.00000
Cupriavidus nantongensis	1796606	S	3	5	8	0.00000
Cupriavidus malaysiensis	367825	S	2	13	15	0.00000
Paraburkholderia sp. SOS3	1926494	S	23	1	24	0.00000
Paraburkholderia sp. 7MH5	2547399	S	17	1	18	0.00000
Paraburkholderia sp. PGU16	2735433	S	10	3	13	0.00000
Paraburkholderia sp. PGU19	2735434	S	7	3	10	0.00000
Paraburkholderia sp. Msb3	2604047	S	4	2	6	0.00000
Paraburkholderia aromaticivorans	2026199	S	17	5	22	0.00000
Paraburkholderia caribensis	75105	S	17	6	23	0.00000
Paraburkholderia tropica	92647	S	15	2	17	0.00000
Paraburkholderia acidisoli	2571748	S	14	1	15	0.00000
Paraburkholderia phytofirmans	261302	S	13	4	17	0.00000
Paraburkholderia terricola	169427	S	12	2	14	0.00000
Paraburkholderia caffeinilytica	1761016	S	11	2	13	0.00000
Paraburkholderia xenovorans	36873	S	10	7	17	0.00000
Paraburkholderia megapolitana	420953	S	9	0	9	0.00000
Paraburkholderia fungorum	134537	S	8	1	9	0.00000
Paraburkholderia acidiphila	2571747	S	8	0	8	0.00000
Paraburkholderia atlantica	2654982	S	7	1	8	0.00000
Paraburkholderia phenoliruptrix	252970	S	7	2	9	0.00000
Paraburkholderia caledonica	134536	S	7	0	7	0.00000
Paraburkholderia dokdonella	2211211	S	7	1	8	0.00000
Paraburkholderia graminis	60548	S	6	1	7	0.00000
Paraburkholderia sprentiae	948107	S	6	0	6	0.00000
Paraburkholderia ginsengisoli	311231	S	6	1	7	0.00000
Paraburkholderia terrae	311230	S	4	4	8	0.00000
Paraburkholderia phymatum	148447	S	4	0	4	0.00000
Paraburkholderia hospita	169430	S	1	0	1	0.00000
Ralstonia solanacearum	305	S	123	65	188	0.00000
Ralstonia pickettii	329	S	16	6	22	0.00000
Ralstonia insidiosa	190721	S	15	4	19	0.00000
Ralstonia mannitolilytica	105219	S	14	8	22	0.00000
Pandoraea pnomenusa	93220	S	17	6	23	0.00000
Pandoraea norimbergensis	93219	S	11	1	12	0.00000
Pandoraea thiooxydans	445709	S	11	0	11	0.00000
Pandoraea faecigallinarum	656179	S	10	1	11	0.00000
Pandoraea apista	93218	S	9	3	12	0.00000
Pandoraea vervacti	656178	S	9	2	11	0.00000
Pandoraea fibrosis	1891094	S	8	1	9	0.00000
Pandoraea sp. XY-2	2518599	S	8	1	9	0.00000
Pandoraea oxalativorans	573737	S	7	2	9	0.00000
Pandoraea pulmonicola	93221	S	5	0	5	0.00000
Pandoraea sputorum	93222	S	4	1	5	0.00000
Caballeronia sp. M1242	2814653	S	11	1	12	0.00000
Caballeronia sp. SBC1	2705548	S	4	29	33	0.00000
Caballeronia sp. SBC2	2705547	S	1	4	5	0.00000
Caballeronia insecticola	758793	S	7	0	7	0.00000
Chitinimonas arctica	2594795	S	13	0	13	0.00000
Lautropia mirabilis	47671	S	10	0	10	0.00000
Limnobacter sp. SAORIC-580	2732163	S	7	0	7	0.00000
Ephemeroptericola cinctiostellae	2268024	S	7	0	7	0.00000
Mycoavidus cysteinexigens	1553431	S	4	0	4	0.00000
Mycoavidus sp. B2-EB	2651972	S	1	0	1	0.00000
Mycetohabitans rhizoxinica	412963	S	5	0	5	0.00000
Massilia sp. CCM 8941	2765360	S	54	21	75	0.00000
Massilia sp. LPB0304	2769491	S	42	35	77	0.00000
Massilia sp. NR 4-1	1678028	S	41	11	52	0.00000
Massilia sp. WG5	1707785	S	37	27	64	0.00000
Massilia sp. YMA4	1593482	S	31	23	54	0.00000
Massilia violaceinigra	2045208	S	63	18	81	0.00000
Massilia armeniaca	2072590	S	47	24	71	0.00000
Massilia putida	1141883	S	40	14	54	0.00000
Massilia oculi	945844	S	36	7	43	0.00000
Massilia albidiflava	321983	S	35	13	48	0.00000
Massilia lutea	321985	S	31	8	39	0.00000
Massilia plicata	321984	S	26	5	31	0.00000
Massilia umbonata	864828	S	25	9	34	0.00000
Massilia flava	871742	S	22	4	26	0.00000
Janthinobacterium sp. 1_2014MBL_MicDiv	1644131	S	25	7	32	0.00000
Janthinobacterium sp. LM6	1938606	S	22	12	34	0.00000
Janthinobacterium sp. Marseille	375286	S	20	5	25	0.00000
Janthinobacterium sp. PLB02	2808899	S	13	28	41	0.00000
Janthinobacterium sp. 17J80-10	2497863	S	12	1	13	0.00000
Janthinobacterium sp. HH102	1537274	S	8	17	25	0.00000
Janthinobacterium sp. B9-8	1236179	S	4	1	5	0.00000
Janthinobacterium agaricidamnosum	55508	S	99	39	138	0.00000
Janthinobacterium svalbardensis	368607	S	32	16	48	0.00000
Janthinobacterium tructae	2590869	S	22	12	34	0.00000
Janthinobacterium lividum	29581	S	14	20	34	0.00000
Duganella sp. AF9R3	2728021	S	256	44	300	0.00000
Duganella sp. GN2-R2	2728020	S	30	10	40	0.00000
Herbaspirillum hiltneri	341045	S	23	3	26	0.00000
Herbaspirillum robiniae	2014887	S	21	6	27	0.00000
Herbaspirillum seropedicae	964	S	20	9	29	0.00000
Herbaspirillum rubrisubalbicans	80842	S	20	7	27	0.00000
Herbaspirillum sp. meg3	2025949	S	20	1	21	0.00000
Herbaspirillum huttiense	863372	S	12	6	18	0.00000
Herbaspirillum frisingense	92645	S	7	2	9	0.00000
Undibacterium sp. YM2	2058625	S	40	11	51	0.00000
Undibacterium sp. KW1	2058624	S	32	9	41	0.00000
Undibacterium parvum	401471	S	25	3	28	0.00000
Collimonas fungivorans	158899	S	33	6	39	0.00000
Collimonas arenae	279058	S	33	4	37	0.00000
Collimonas pratensis	279113	S	29	6	35	0.00000
Noviherbaspirillum sp. UKPF54	2601898	S	17	1	18	0.00000
Herminiimonas arsenitoxidans	1809410	S	14	3	17	0.00000
Glaciimonas sp. PAMC28666	2807626	S	4	0	4	0.00000
Oxalobacter formigenes	847	S	3	0	3	0.00000
Rhizobacter sp. AJA081-3	2753607	S	127	24	151	0.00000
Rhizobacter gummiphilus	946333	S	122	18	140	0.00000
Sphaerotilus natans	34103	S	213	55	268	0.00000
Leptothrix cholodnii	34029	S	151	35	186	0.00000
Methylibium petroleiphilum	105560	S	40	31	71	0.00000
Methylibium sp. Pch-M	2082386	S	31	27	58	0.00000
Methylibium sp. T29	1430884	S	2	5	7	0.00000
Rubrivivax gelatinosus	28068	S	101	22	123	0.00000
Paucibacter sp. KCTC 42545	1768242	S	98	15	113	0.00000
Thiomonas sp. X19	1050370	S	31	4	35	0.00000
Thiomonas intermedia	926	S	19	13	32	0.00000
Thiomonas arsenitoxydans	426114	S	6	10	16	0.00000
Aquabacterium olei	1296669	S	72	15	87	0.00000
Xylophilus rhododendri	2697032	S	58	13	71	0.00000
Roseateles depolymerans	76731	S	57	8	65	0.00000
Mitsuaria sp. 7	1658665	S	50	8	58	0.00000
Inhella inkyongensis	392593	S	43	5	48	0.00000
Bordetella sp. H567	1697043	S	14	1	15	0.00000
Bordetella sp. N	1746199	S	13	1	14	0.00000
Bordetella avium	521	S	20	9	29	0.00000
Bordetella hinzii	103855	S	16	4	20	0.00000
Bordetella bronchialis	463025	S	16	1	17	0.00000
Bordetella trematum	123899	S	15	3	18	0.00000
Bordetella genomosp. 8	1416806	S	15	1	16	0.00000
Bordetella flabilis	463014	S	14	0	14	0.00000
Bordetella genomosp. 13	463040	S	13	5	18	0.00000
Bordetella petrii	94624	S	7	6	13	0.00000
Bordetella genomosp. 9	1416803	S	7	1	8	0.00000
Bordetella bronchiseptica	518	S	5	29	34	0.00000
Bordetella holmesii	35814	S	5	0	5	0.00000
Bordetella pseudohinzii	1331258	S	4	1	5	0.00000
Bordetella parapertussis	519	S	1	10	11	0.00000
Achromobacter xylosoxidans	85698	S	55	54	109	0.00000
Achromobacter sp. MFA1 R4	1881016	S	13	2	15	0.00000
Achromobacter sp. AONIH1	1758194	S	10	7	17	0.00000
Achromobacter sp. B7	2282475	S	7	1	8	0.00000
Achromobacter spanius	217203	S	26	6	32	0.00000
Achromobacter denitrificans	32002	S	20	12	32	0.00000
Achromobacter insolitus	217204	S	11	2	13	0.00000
Achromobacter pestifer	1353889	S	9	6	15	0.00000
Achromobacter deleyi	1353891	S	5	7	12	0.00000
Pigmentiphaga sp. H8	2488560	S	30	2	32	0.00000
Pigmentiphaga aceris	1940612	S	21	0	21	0.00000
Alcaligenes faecalis	511	S	25	6	31	0.00000
Alcaligenes aquatilis	323284	S	5	7	12	0.00000
Alcaligenes sp. SORT26	2813780	S	3	0	3	0.00000
Pusillimonas sp. T7-7	1007105	S	7	0	7	0.00000
Pusillimonas sp. DMV24BSW_D	2716226	S	6	0	6	0.00000
Pusillimonas thiosulfatoxidans	2028345	S	6	0	6	0.00000
Castellaniella defragrans	75697	S	17	6	23	0.00000
Oligella ureolytica	90244	S	10	1	11	0.00000
Oligella urethralis	90245	S	5	0	5	0.00000
Advenella mimigardefordensis	302406	S	9	0	9	0.00000
Advenella kashmirensis	310575	S	4	0	4	0.00000
Kerstersia gyiorum	206506	S	10	1	11	0.00000
Orrella dioscoreae	1851544	S	10	2	12	0.00000
Paenalcaligenes hominis	643674	S	5	0	5	0.00000
Basilea psittacipulmonis	1472345	S	4	0	4	0.00000
Algicoccus marinus	2163011	S	4	0	4	0.00000
Taylorella equigenitalis	29575	S	2	0	2	0.00000
Taylorella asinigenitalis	84590	S	1	0	1	0.00000
Pelistega ratti	2652177	S	1	0	1	0.00000
Sutterella megalosphaeroides	2494234	S	5	0	5	0.00000
Sutterella wadsworthensis	40545	S	4	0	4	0.00000
Sutterella faecalis	2584944	S	4	0	4	0.00000
Turicimonas muris	1796652	S	2	0	2	0.00000
Azoarcus sp. DN11	356837	S	15	5	20	0.00000
Azoarcus sp. KH32C	748247	S	13	1	14	0.00000
Azoarcus sp. DD4	2027405	S	12	8	20	0.00000
Azoarcus sp. CIB	198107	S	10	4	14	0.00000
Azoarcus sp. M9-3-2	2016596	S	10	0	10	0.00000
Azoarcus communis	41977	S	33	8	41	0.00000
Azoarcus olearius	418699	S	19	9	28	0.00000
Azoarcus pumilus	2067960	S	8	1	9	0.00000
Thauera sp. K11	2005884	S	28	10	38	0.00000
Thauera sp. MZ1T	85643	S	21	16	37	0.00000
Thauera humireducens	1134435	S	21	5	26	0.00000
Thauera hydrothermalis	2184083	S	15	2	17	0.00000
Thauera chlorobenzoica	96773	S	12	7	19	0.00000
Thauera aromatica	59405	S	6	5	11	0.00000
Azospira restricta	404405	S	31	9	40	0.00000
Azospira sp. I09	1765049	S	8	16	24	0.00000
Azospira oryzae	146939	S	2	3	5	0.00000
Aromatoleum aromaticum	551760	S	17	3	20	0.00000
Aromatoleum petrolei	76116	S	13	4	17	0.00000
Aromatoleum bremense	76115	S	9	2	11	0.00000
Oryzomicrobium terrae	1735038	S	27	3	30	0.00000
Niveibacterium sp. HC41	2811415	S	17	1	18	0.00000
Rugosibacter aromaticivorans	1565605	S	11	1	12	0.00000
Dechloromonas sp. TW-R-39-2	2654218	S	36	4	40	0.00000
Dechloromonas sp. HYN0024	2231055	S	34	4	38	0.00000
Dechloromonas aromatica	259537	S	36	4	40	0.00000
Fluviibacter phosphoraccumulans	1751046	S	88	11	99	0.00000
Aquaspirillum sp. LM1	1938604	S	122	7	129	0.00000
Chromobacterium sp. ATCC 53434	2059672	S	9	1	10	0.00000
Chromobacterium sp. Rain0013	2292447	S	4	2	6	0.00000
Chromobacterium phragmitis	2202141	S	12	2	14	0.00000
Chromobacterium violaceum	536	S	10	3	13	0.00000
Chromobacterium vaccinii	1108595	S	8	1	9	0.00000
Chromobacterium paludis	2605945	S	4	0	4	0.00000
Chromobacterium rhizoryzae	1778675	S	3	10	13	0.00000
Chromobacterium haemolyticum	394935	S	1	4	5	0.00000
Iodobacter fluviatilis	537	S	9	2	11	0.00000
Iodobacter sp. H11R3	2496266	S	7	1	8	0.00000
Aquitalea aquatilis	1537400	S	9	1	10	0.00000
Aquitalea sp. USM4	1590041	S	6	1	7	0.00000
Aquitalea magnusonii	332411	S	5	1	6	0.00000
Aquitalea denitrificans	519081	S	1	0	1	0.00000
Laribacter hongkongensis	168471	S	22	4	26	0.00000
Chitinibacter fontanus	1737446	S	8	0	8	0.00000
Chitinibacter sp. 2T18	2739434	S	8	3	11	0.00000
Pseudogulbenkiania sp. NH8B	748280	S	16	2	18	0.00000
Jeongeupia sp. USM3	1906741	S	6	1	7	0.00000
Jeongeupia sp. HS-3	1009682	S	5	1	6	0.00000
Vogesella sp. LIG4	1192162	S	12	1	13	0.00000
Microvirgula aerodenitrificans	57480	S	11	0	11	0.00000
Deefgea sp. D17	2739061	S	8	0	8	0.00000
Vitreoscilla filiformis	63	S	108	14	122	0.00000
Vitreoscilla sp. C1	96942	S	10	0	10	0.00000
Neisseria sp. ZJ785	2709396	S	7	0	7	0.00000
Neisseria sp. 10022	1853276	S	3	0	3	0.00000
Neisseria sp. oral taxon 014	641148	S	2	0	2	0.00000
Neisseria sp. KEM232	655307	S	1	0	1	0.00000
Neisseria brasiliensis	2666100	S	7	2	9	0.00000
Neisseria weaveri	28091	S	7	1	8	0.00000
Neisseria subflava	28449	S	6	4	10	0.00000
Neisseria elongata	495	S	4	1	5	0.00000
Neisseria musculi	1815583	S	4	0	4	0.00000
Neisseria zalophi	640030	S	4	0	4	0.00000
Neisseria zoodegmatis	326523	S	4	1	5	0.00000
Neisseria meningitidis	487	S	3	6	9	0.00000
Neisseria dentiae	194197	S	3	0	3	0.00000
Neisseria bacilliformis	267212	S	3	0	3	0.00000
Neisseria sicca	490	S	2	1	3	0.00000
Neisseria animalis	492	S	2	0	2	0.00000
Neisseria canis	493	S	2	0	2	0.00000
Neisseria chenwenguii	1853278	S	2	0	2	0.00000
Neisseria shayeganii	607712	S	2	0	2	0.00000
Neisseria mucosa	488	S	1	1	2	0.00000
Neisseria gonorrhoeae	485	S	1	1	2	0.00000
Chitinolyticbacter meiyuanensis	682798	S	20	0	20	0.00000
Crenobacter cavernae	2290923	S	13	1	14	0.00000
Eikenella corrodens	539	S	4	2	6	0.00000
Eikenella exigua	2528037	S	3	1	4	0.00000
Simonsiella muelleri	72	S	7	0	7	0.00000
Kingella kingae	504	S	4	0	4	0.00000
Kingella oralis	505	S	3	0	3	0.00000
Alysiella filiformis	194196	S	3	0	3	0.00000
Conchiformibius steedae	153493	S	3	0	3	0.00000
Snodgrassella alvi	1196083	S	1	0	1	0.00000
Candidatus Methylopumilus rimovensis	2588535	S	48	2	50	0.00000
Candidatus Methylopumilus universalis	2588536	S	28	3	31	0.00000
Candidatus Methylopumilus turicensis	1581680	S	25	1	26	0.00000
Candidatus Methylopumilus planktonicus	1581557	S	14	2	16	0.00000
Methylotenera versatilis	1055487	S	41	2	43	0.00000
Methylotenera mobilis	359408	S	31	1	32	0.00000
Methylophilus medardicus	2588534	S	12	2	14	0.00000
Methylophilus sp. TWE2	1662285	S	11	1	12	0.00000
Methylobacillus flagellatus	405	S	11	1	12	0.00000
Methylovorus glucosotrophus	266009	S	5	1	6	0.00000
Methylovorus sp. MP688	887061	S	3	0	3	0.00000
Sulfuritalea hydrogenivorans	748811	S	45	3	48	0.00000
Sterolibacterium denitrificans	157592	S	24	4	28	0.00000
Denitratisoma oestradiolicum	311182	S	12	1	13	0.00000
Denitratisoma sp. DHT3	1981880	S	11	6	17	0.00000
Methyloversatilis sp. RAC08	1842540	S	16	0	16	0.00000
Nitrosomonas sp. Is79A3	261292	S	37	0	37	0.00000
Nitrosomonas sp. AL212	153948	S	4	1	5	0.00000
Nitrosomonas ureae	44577	S	13	2	15	0.00000
Nitrosomonas stercoris	1444684	S	6	1	7	0.00000
Nitrosomonas communis	44574	S	5	0	5	0.00000
Nitrosomonas europaea	915	S	4	0	4	0.00000
Nitrosospira briensis	35799	S	6	0	6	0.00000
Nitrosospira multiformis	1231	S	5	0	5	0.00000
Nitrosospira lacus	1288494	S	4	0	4	0.00000
Sulfuriferula plumbiphila	171865	S	13	1	14	0.00000
Sulfuriferula nivalis	2675298	S	5	0	5	0.00000
Sulfuriferula sp. AH1	1985873	S	4	0	4	0.00000
Sulfurimicrobium lacus	2715678	S	15	0	15	0.00000
Sulfuricella denitrificans	649841	S	10	0	10	0.00000
Sideroxydans lithotrophicus	63745	S	10	0	10	0.00000
Candidatus Nitrotoga sp. AM1P	2559597	S	8	0	8	0.00000
Gallionella capsiferriformans	370405	S	6	0	6	0.00000
Ferriphaselus amnicola	1188319	S	4	0	4	0.00000
Usitatibacter palustris	2732487	S	12	0	12	0.00000
Usitatibacter rugosus	2732067	S	10	0	10	0.00000
Thiobacillus denitrificans	36861	S	12	0	12	0.00000
Sulfuritortus calidifontis	1914471	S	7	1	8	0.00000
Candidatus Accumulibacter phosphatis	327160	S	28	1	29	0.00000
Casimicrobium huifangae	2591109	S	23	4	27	0.00000
Candidatus Kinetoplastibacterium crithidii	33056	S	4	-4	0	0.00000
Candidatus Kinetoplastibacterium sorsogonicusi	1576550	S	3	0	3	0.00000
Candidatus Kinetoplastibacterium desouzaii	994692	S	2	0	2	0.00000
Candidatus Kinetoplastibacterium oncopeltii	994696	S	1	0	1	0.00000
Candidatus Profftella armatura (Diaphorina cf. continua)	2661583	S	4	1	5	0.00000
Candidatus Profftella armatura	669502	S	1	0	1	0.00000
Pseudomonas sp. CMR12a	658629	S	450	113	563	0.00001
Pseudomonas sp. C27(2019)	2604941	S	22	1	23	0.00000
Pseudomonas sp. S1-A32-2	2731681	S	14	0	14	0.00000
Pseudomonas sp. K2W31S-8	2320867	S	13	0	13	0.00000
Pseudomonas sp. 02C 26	2054914	S	10	0	10	0.00000
Pseudomonas sp. URMO17WK12:I11	1283291	S	10	5	15	0.00000
Pseudomonas sp. R84	1573712	S	10	0	10	0.00000
Pseudomonas sp. IB20	1702250	S	10	1	11	0.00000
Pseudomonas sp. 15A4	2804761	S	9	1	10	0.00000
Pseudomonas sp. ADAK13	2730847	S	8	0	8	0.00000
Pseudomonas sp. SK	2729423	S	8	0	8	0.00000
Pseudomonas sp. S35	1573719	S	8	0	8	0.00000
Pseudomonas sp. LPB0260	2614442	S	8	0	8	0.00000
