chr1	248956422	14836512	62509
chr2	242193529	13957024	57805
chr3	198295559	11296064	46172
chr4	190214555	10281279	58534
chr5	181538259	10159976	44001
chr6	170805979	9680724	38941
chr7	159345973	9159762	40192
chr8	145138636	8440826	32894
chr9	138394717	7263941	30839
chr10	133797422	8160187	44332
chr11	135086622	7985026	31912
chr12	133275309	7700769	32592
chr13	114364328	5691270	21709
chr14	107043718	5133216	21510
chr15	101991189	5208662	22440
chr16	90338345	5554136	28054
chr17	83257441	5214563	29353
chr18	80373285	4726989	18327
chr19	58617616	3473496	20182
chr20	64444167	4310456	24632
chr21	46709983	2578926	15157
chr22	50818468	2518061	14358
chrX	156040895	8909346	33880
chrY	57227415	114516	10541
chrM	16569	5584	159
chr1_KI270706v1_random	175055	16521	73
chr1_KI270707v1_random	32032	2727	18
chr1_KI270708v1_random	127682	8916	46
chr1_KI270709v1_random	66860	94443	603
chr1_KI270710v1_random	40176	3229	12
chr1_KI270711v1_random	42210	9410	21
chr1_KI270712v1_random	176043	10237	101
chr1_KI270713v1_random	40745	7277	40
chr1_KI270714v1_random	41717	3136	16
chr2_KI270715v1_random	161471	10753	20
chr2_KI270716v1_random	153799	8329	35
chr3_GL000221v1_random	155397	19701	51
chr4_GL000008v2_random	209709	23680	880
chr5_GL000208v1_random	92689	8752	118
chr9_KI270717v1_random	40062	2101	10
chr9_KI270718v1_random	38054	3156	34
chr9_KI270719v1_random	176845	14288	76
chr9_KI270720v1_random	39050	3687	34
chr11_KI270721v1_random	100316	3592	9
chr14_GL000009v2_random	201709	26680	121
chr14_GL000225v1_random	211173	147040	7693
chr14_KI270722v1_random	194050	12233	96
chr14_GL000194v1_random	191469	22845	93
chr14_KI270723v1_random	38115	6041	227
chr14_KI270724v1_random	39555	5983	177
chr14_KI270725v1_random	172810	10090	46
chr14_KI270726v1_random	43739	403	10
chr15_KI270727v1_random	448248	20775	91
chr16_KI270728v1_random	1872759	37144	234
chr17_GL000205v2_random	185591	33708	310
chr17_KI270729v1_random	280839	52213	3950
chr17_KI270730v1_random	112551	9507	1388
chr22_KI270731v1_random	150754	11438	99
chr22_KI270732v1_random	41543	5118	38
chr22_KI270733v1_random	179772	88798	725
chr22_KI270734v1_random	165050	13269	178
chr22_KI270735v1_random	42811	6000	281
chr22_KI270736v1_random	181920	20376	2134
chr22_KI270737v1_random	103838	7017	682
chr22_KI270738v1_random	99375	6945	175
chr22_KI270739v1_random	73985	2853	100
chrY_KI270740v1_random	37240	2	0
chrUn_KI270302v1	2274	136	0
chrUn_KI270304v1	2165	953	16
chrUn_KI270303v1	1942	1141	21
chrUn_KI270305v1	1472	144	0
chrUn_KI270322v1	21476	825	9
chrUn_KI270320v1	4416	809	0
chrUn_KI270310v1	1201	2110	18
chrUn_KI270316v1	1444	34	0
chrUn_KI270315v1	2276	56	0
chrUn_KI270312v1	998	63	1
chrUn_KI270311v1	12399	450	0
chrUn_KI270317v1	37690	460	18
chrUn_KI270412v1	1179	371	8
chrUn_KI270411v1	2646	3140	54
chrUn_KI270414v1	2489	153	1
chrUn_KI270419v1	1029	110	0
chrUn_KI270418v1	2145	382	5
chrUn_KI270420v1	2321	340	3
chrUn_KI270424v1	2140	247	4
chrUn_KI270417v1	2043	74	2
chrUn_KI270422v1	1445	337	12
chrUn_KI270423v1	981	61	0
chrUn_KI270425v1	1884	56	0
chrUn_KI270429v1	1361	424	4
chrUn_KI270442v1	392061	61322	2337
chrUn_KI270466v1	1233	932	70
chrUn_KI270465v1	1774	719	26
chrUn_KI270467v1	3920	3668	212
chrUn_KI270435v1	92983	10135	185
chrUn_KI270438v1	112505	212908	2791
chrUn_KI270468v1	4055	404	2
chrUn_KI270510v1	2415	436	13
chrUn_KI270509v1	2318	568	4
chrUn_KI270518v1	2186	547	8
chrUn_KI270508v1	1951	572	2
chrUn_KI270516v1	1300	297	3
chrUn_KI270512v1	22689	3152	91
chrUn_KI270519v1	138126	17184	354
chrUn_KI270522v1	5674	390	16
chrUn_KI270511v1	8127	864	31
chrUn_KI270515v1	6361	1449	19
chrUn_KI270507v1	5353	932	6
chrUn_KI270517v1	3253	883	14
chrUn_KI270529v1	1899	161	1
chrUn_KI270528v1	2983	147	5
chrUn_KI270530v1	2168	144	0
chrUn_KI270539v1	993	28	0
chrUn_KI270538v1	91309	11708	200
chrUn_KI270544v1	1202	857	11
chrUn_KI270548v1	1599	26	0
chrUn_KI270583v1	1400	232	2
chrUn_KI270587v1	2969	795	8
chrUn_KI270580v1	1553	293	0
chrUn_KI270581v1	7046	589	2
chrUn_KI270579v1	31033	2066	61
chrUn_KI270589v1	44474	4570	289
chrUn_KI270590v1	4685	1692	58
chrUn_KI270584v1	4513	980	17
chrUn_KI270582v1	6504	542	2
chrUn_KI270588v1	6158	1233	13
chrUn_KI270593v1	3041	571	3
chrUn_KI270591v1	5796	1712	121
chrUn_KI270330v1	1652	2275	9
chrUn_KI270329v1	1040	259	5
chrUn_KI270334v1	1368	244	0
chrUn_KI270333v1	2699	941	66
chrUn_KI270335v1	1048	137	2
chrUn_KI270338v1	1428	90	0
chrUn_KI270340v1	1428	366	4
chrUn_KI270336v1	1026	302	20
chrUn_KI270337v1	1121	1123	58
chrUn_KI270363v1	1803	72	0
chrUn_KI270364v1	2855	174	10
chrUn_KI270362v1	3530	230	3
chrUn_KI270366v1	8320	531	14
chrUn_KI270378v1	1048	19	1
chrUn_KI270379v1	1045	27	0
chrUn_KI270389v1	1298	69	0
chrUn_KI270390v1	2387	50	0
chrUn_KI270387v1	1537	80	0
chrUn_KI270395v1	1143	397	3
chrUn_KI270396v1	1880	283	4
chrUn_KI270388v1	1216	46	0
chrUn_KI270394v1	970	30	0
chrUn_KI270386v1	1788	127	2
chrUn_KI270391v1	1484	200	2
chrUn_KI270383v1	1750	154	5
chrUn_KI270393v1	1308	121	0
chrUn_KI270384v1	1658	204	3
chrUn_KI270392v1	971	40	0
chrUn_KI270381v1	1930	71	1
chrUn_KI270385v1	990	38	1
chrUn_KI270382v1	4215	179	4
chrUn_KI270376v1	1136	25	3
chrUn_KI270374v1	2656	64	0
chrUn_KI270372v1	1650	52	7
chrUn_KI270373v1	1451	35	0
chrUn_KI270375v1	2378	132	10
chrUn_KI270371v1	2805	83	2
chrUn_KI270448v1	7992	978	8
chrUn_KI270521v1	7642	545	2
chrUn_GL000195v1	182896	21033	74
chrUn_GL000219v1	179198	24115	307
chrUn_GL000220v1	161802	124540	968
chrUn_GL000224v1	179693	67060	255
chrUn_KI270741v1	157432	11453	86
chrUn_GL000226v1	15008	25382	15
chrUn_GL000213v1	164239	4905	20
chrUn_KI270743v1	210658	25162	109
chrUn_KI270744v1	168472	54405	166
chrUn_KI270745v1	41891	2140	11
chrUn_KI270746v1	66486	7165	23
chrUn_KI270747v1	198735	8531	106
chrUn_KI270748v1	93321	4364	19
chrUn_KI270749v1	158759	7497	42
chrUn_KI270750v1	148850	14670	61
chrUn_KI270751v1	150742	27116	161
chrUn_KI270752v1	27745	1	1
chrUn_KI270753v1	62944	5732	17
chrUn_KI270754v1	40191	11167	30
chrUn_KI270755v1	36723	1425	5
chrUn_KI270756v1	79590	5611	932
chrUn_KI270757v1	71251	12179	379
chrUn_GL000214v1	137718	56148	190
chrUn_KI270742v1	186739	27838	112
chrUn_GL000216v2	176608	75534	5729
